緯度,経度,コースコード,配達順
,,132,21
35.891329,139.822135,132,22
35.891674,139.818446,132,23
35.890365,139.821852,132,24
,,132,25
35.888777,139.820774,132,26
35.885935,139.821602,132,27
35.886027,139.819519,132,28
35.8863416,139.818345,132,29
35.88757677,139.8168397,132,30
35.887543,139.816944,132,31
35.887099,139.816408,132,32
35.8861118,139.8156285,132,33
35.892661,139.81708,132,34
35.89003,139.811879,132,35
35.88911,139.811939,132,36
35.886191,139.811014,132,37
35.88816784,139.8100001,132,38
35.8891257,139.8094261,132,39
35.88775061,139.8076773,132,40
35.88668321,139.8047698,132,41
35.8895515,139.8065595,132,42
35.88990624,139.8068029,132,43
35.889507,139.804734,132,44
35.887851,139.801049,132,45
35.889404,139.79591,132,46
35.88967,139.795236,132,47
35.89042775,139.7972488,132,48
35.889828,139.794626,132,49
35.89121001,139.7952479,132,50
35.89169643,139.7950728,132,51
35.89939289,139.7878397,133,1
35.897588,139.790559,133,2
35.8997716,139.7932596,133,3
35.897612,139.789771,133,4
35.89906003,139.7903341,133,5
35.900549,139.790726,133,6
35.90054573,139.791001,133,7
35.90156054,139.7910153,133,8
35.90229298,139.7916269,133,9
35.902633,139.792547,133,10
35.9027729,139.7920375,133,11
35.903768,139.792365,133,12
35.904139,139.793411,133,13
35.901792,139.792785,133,14
35.902432,139.790107,133,15
35.90412562,139.7914177,133,16
35.90427293,139.7911645,133,17
35.903459,139.790036,133,18
35.904478,139.788799,133,19
35.9030647,139.7869062,133,20
35.90293922,139.7867392,133,21
35.90316082,139.7869967,133,22
35.901774,139.786097,133,23
35.907128,139.785038,133,24
35.90635,139.78599,133,25
35.905362,139.78669,133,26
35.904513,139.786279,133,27
35.904458,139.785048,133,28
35.905799,139.787765,133,29
35.907924,139.786397,133,30
35.91087704,139.7861713,133,31
35.911362,139.785022,133,32
35.911328,139.785173,133,33
35.91212,139.786376,133,34
35.9128686,139.7868461,133,35
35.914722,139.787504,133,36
35.9145,139.78694,133,37
35.914746,139.786272,133,38
35.91135,139.784076,133,39
35.904047,139.78159,133,40
35.9042892,139.7826735,133,41
35.90277609,139.7829779,133,42
35.90207926,139.7833812,133,43
35.90191858,139.7832026,133,44
35.899016,139.784877,133,45
35.90090442,139.7857092,133,46
35.902974,139.785698,133,47
35.903071,139.785068,133,48
,,133,49
35.870177,139.818385,134,1
35.87039484,139.8186207,134,2
35.870547,139.818932,134,3
35.87008359,139.8207986,134,4
35.874003,139.819269,134,5
35.8733019,139.8229916,134,6
35.873079,139.824557,134,7
35.872089,139.824338,134,8
35.8715601,139.8267786,134,9
35.87126163,139.8265654,134,10
35.87120773,139.824838,134,11
35.875656,139.820664,134,12
35.875573,139.826771,134,13
35.87537116,139.8259109,134,14
35.875652,139.8255,134,15
35.875759,139.826806,134,16
35.87579667,139.8259725,134,17
35.87527,139.826428,134,18
35.875564,139.825084,134,19
35.875561,139.825059,134,20
35.875561,139.825059,134,21
,,134,22
35.8739803,139.8357536,134,23
35.872361,139.83472,134,24
35.87190759,139.8356849,134,25
35.875734,139.82867,134,26
35.87854249,139.829827,134,27
35.8767741,139.8281921,134,28
35.87663258,139.8287594,134,29
35.8766788,139.8278756,134,30
35.878453,139.822369,134,31
35.878208,139.822284,134,32
35.88081553,139.784298,134,33
35.87876851,139.8222846,134,34
35.878453,139.822369,134,35
35.87575454,139.8180896,134,36
35.87579714,139.8180038,134,37
35.8777942,139.8151885,134,38
35.87862333,139.8144794,134,39
35.8786932,139.8146561,134,40
35.88344784,139.823027,134,41
,,134,42
35.883395,139.820488,134,43
35.8833637,139.8197653,134,44
35.88369301,139.8200798,134,45
35.882887,139.818803,134,46
35.883008,139.81873,134,47
35.882692,139.816604,134,48
35.88082701,139.8170972,134,49
35.880321,139.816358,134,50
35.8796176,139.8185075,134,51
35.878292,139.817586,134,52
35.876781,139.818644,134,53
35.876489,139.820984,134,54
35.876457,139.821285,134,55
35.87697075,139.8199618,134,56
35.876552,139.82046,134,57
35.87801001,139.8203605,134,58
35.87818433,139.8203373,134,59
35.8696461,139.8027212,134,60
,,134,61
35.87955735,139.7925404,135,1
35.87799742,139.7920614,135,2
35.8788469,139.7907231,135,3
35.87963488,139.7918541,135,4
35.88047623,139.7919374,135,5
35.8818067,139.7920829,135,6
35.87923009,139.7911681,135,7
35.879952,139.791069,135,8
35.881341,139.790427,135,9
35.880413,139.790685,135,10
35.8798621,139.7893095,135,11
35.88123,139.789294,135,12
,,135,13
35.8829283,139.7886283,135,14
35.88336703,139.7888935,135,15
35.88443449,139.789685,135,16
35.8844094,139.7901011,135,17
35.884885,139.789707,135,18
35.89026695,139.7874051,135,19
35.89033935,139.7873123,135,20
35.89044824,139.7871467,135,21
35.88880924,139.7904301,135,22
35.89013754,139.7890633,135,23
35.89434554,139.7878465,135,24
35.894711,139.787452,135,25
35.891259,139.789313,135,26
35.8918028,139.7896392,135,27
35.8938722,139.7889128,135,28
35.89475,139.788615,135,29
35.8935407,139.7883851,135,30
35.89496406,139.7905592,135,31
35.896779,139.788094,135,32
35.897166,139.787543,135,33
35.89307438,139.7866005,135,34
35.89266153,139.7868258,135,35
35.893281,139.784655,135,36
35.89353937,139.7856241,135,37
35.89362,139.785669,135,38
35.89404261,139.7850072,135,39
35.8952369,139.784994,135,40
35.90447476,139.7807049,135,41
35.90443871,139.7810812,135,42
35.90105891,139.7812039,135,43
35.899327,139.781858,135,44
35.898097,139.782369,135,45
35.89806318,139.783532,135,46
35.89969707,139.7825074,135,47
35.90906524,139.7894973,136,1
35.912089,139.789817,136,2
35.912517,139.789076,136,3
35.91232559,139.7917128,136,4
35.91232,139.791598,136,5
35.9121359,139.7913796,136,6
35.91190241,139.7910315,136,7
35.915008,139.791773,136,8
35.91647,139.791081,136,9
35.918294,139.791959,136,10
35.919441,139.792431,136,11
35.920002,139.792606,136,12
35.92042113,139.7921687,136,13
35.920694,139.790967,136,14
35.920694,139.790967,136,15
35.920694,139.790967,136,16
35.9196257,139.7890497,136,17
35.922112,139.792338,136,18
35.92345848,139.7898934,136,19
35.923504,139.790719,136,20
35.927975,139.808855,136,21
35.935519,139.812028,136,22
35.9275642,139.7974457,136,23
35.92694083,139.7928434,136,24
35.926545,139.7931332,136,25
35.9260117,139.7936017,136,26
35.9259639,139.7937995,136,27
35.9259598,139.7938605,136,28
35.925307,139.79385,136,29
35.924013,139.7943,136,30
35.923304,139.795558,136,31
35.921842,139.796984,136,32
35.921119,139.796977,136,33
35.920996,139.796161,136,34
35.92114807,139.7960877,136,35
35.920816,139.795394,136,36
35.920802,139.795894,136,37
35.920596,139.795925,136,38
35.919566,139.797261,136,39
35.919658,139.797741,136,40
35.919011,139.797797,136,41
35.918094,139.797803,136,42
35.9190101,139.7960633,136,43
35.918611,139.795847,136,44
35.914921,139.797583,136,45
35.9149065,139.798099,136,46
35.915619,139.799519,136,47
35.915986,139.799164,136,48
35.914339,139.799828,136,49
35.914178,139.800044,136,50
35.914464,139.799861,136,51
35.8948067,139.7957583,137,1
35.89390181,139.7958004,137,2
35.8945029,139.7954837,137,3
35.89525767,139.795838,137,4
35.89537065,139.7964334,137,5
35.89562096,139.797399,137,6
35.89554883,139.7950333,137,7
35.895922,139.793448,137,8
35.8958316,139.7918476,137,9
35.89610072,139.7916216,137,10
35.896487,139.791878,137,11
35.89876709,139.7942204,137,12
35.89715306,139.7949283,137,13
35.897553,139.794801,137,14
35.897921,139.795595,137,15
35.898105,139.795318,137,16
,,137,17
35.90040327,139.7957984,137,18
35.901649,139.793673,137,19
35.900805,139.792998,137,20
35.90268,139.793512,137,21
35.902496,139.794743,137,22
35.902926,139.794736,137,23
35.902372,139.796431,137,24
35.902994,139.796341,137,25
35.90324512,139.79578,137,26
35.90426137,139.7961116,137,27
35.9040552,139.7957944,137,28
35.9040933,139.7957421,137,29
35.90579492,139.7935615,137,30
35.905229,139.793926,137,31
35.905229,139.794029,137,32
35.9074122,139.7933383,137,33
35.90412667,139.7940034,137,34
35.90789819,139.7907472,137,35
35.908298,139.791656,137,36
35.908517,139.792729,137,37
35.911403,139.795973,137,38
35.910419,139.79634,137,39
35.910093,139.795515,137,40
35.9103822,139.7954729,137,41
35.9100498,139.7996639,137,42
35.9128619,139.8002685,137,43
35.9092121,139.798547,137,44
35.90798255,139.7986326,137,45
35.907346,139.797745,137,46
35.90709437,139.8022699,137,47
35.90789697,139.8018027,137,48
,,137,49
35.905777,139.805008,137,50
35.9041772,139.798501,137,51
35.90622158,139.7995619,137,52
35.9050935,139.8000681,137,53
35.90365739,139.7974044,137,54
35.9035328,139.7976513,137,55
35.90311621,139.7989172,137,56
35.903788,139.801224,137,57
,,137,58
35.93116625,139.7659494,151,1
35.921292,139.749559,151,2
35.91740382,139.7569963,151,3
35.90077034,139.7633032,151,4
35.898879,139.762815,151,5
35.89495173,139.764837,151,6
35.8918054,139.7629541,151,7
35.89326559,139.7679484,151,8
35.900243,139.770364,151,9
35.898925,139.769451,151,10
35.89742835,139.7681777,151,11
35.896724,139.769912,151,12
35.89411573,139.7701115,151,13
,,151,14
35.89207484,139.7713602,151,15
,,151,16
35.890525,139.772681,151,17
35.88969596,139.7726366,151,18
35.888734,139.77405,151,19
,,151,20
,,151,21
,,151,22
,,151,23
,,151,24
,,151,25
,,153,1
35.84953657,139.7917978,153,2
