緯度,経度,コースコード,配達順,地点名,住所
35.7587364,139.8431603,C007,5,,
35.7603751,139.8445941,C007,6,,
35.7618592,139.845472,C007,7,,
35.7632104,139.8465447,C007,8,,
35.7650103,139.8481616,C007,9,,
35.766047,139.8493491,C007,10,,
35.7675433,139.8504237,C007,11,,
35.7693863,139.8515027,C007,12,,
35.770949,139.8527939,C007,13,,
35.7721983,139.8540989,C007,14,,
35.7735698,139.8551926,C007,15,,
35.7754543,139.8563873,C007,16,,
35.7769263,139.8575896,C007,17,,
35.7779554,139.8584831,C007,18,,
35.7797357,139.8598392,C007,19,,
35.7813604,139.8612423,C007,20,,
35.7824449,139.8623557,C007,21,,
35.7841044,139.863504,C007,22,,
35.7859163,139.8646962,C007,23,,
35.7872375,139.8660621,C007,24,,
35.788603,139.8669294,C007,25,,
35.7904124,139.8685465,C007,26,,
35.7917276,139.8695667,C007,27,,
35.7933764,139.8705944,C007,28,,
35.794995,139.8717299,C007,29,,
35.7960729,139.8730239,C007,30,,
35.7978704,139.8746242,C007,31,,
35.7990263,139.875547,C007,32,,
35.8007093,139.8767705,C007,33,,
35.8021548,139.8777115,C007,34,,
35.8037089,139.8788958,C007,35,,
35.8051628,139.8804621,C007,36,,
35.8066696,139.881399,C007,37,,
35.8085155,139.882746,C007,38,,
35.8094669,139.8836727,C007,39,,
35.811376,139.8850297,C007,40,,
35.812741,139.8863008,C007,41,,
35.8143516,139.8877237,C007,42,,
35.8158706,139.8889136,C007,43,,
35.817521,139.8897663,C007,44,,
35.8185001,139.8911117,C007,45,,
35.8203794,139.8921269,C007,46,,
35.8214918,139.8936248,C007,47,,
35.8231485,139.8948985,C007,48,,
35.8249176,139.8960807,C007,49,,
35.8261161,139.8972373,C007,50,,
35.7630215,139.8486025,C008,1,,
35.7640411,139.8496133,C008,2,,
35.7657171,139.8510138,C008,3,,
35.7674895,139.8518896,C008,4,,
35.7686275,139.8534222,C008,5,,
35.7705249,139.8542853,C008,6,,
35.7716098,139.855738,C008,7,,
35.7731171,139.8569973,C008,8,,
35.7745548,139.8577752,C008,9,,
35.7761041,139.8588289,C008,10,,
35.7776761,139.8601626,C008,11,,
35.7792926,139.8613324,C008,12,,
35.7809381,139.8626523,C008,13,,
35.7820697,139.8638315,C008,14,,
35.7837528,139.8650131,C008,15,,
35.785032,139.8666213,C008,16,,
35.7866679,139.8672769,C008,17,,
35.7879779,139.8686182,C008,18,,
35.7895976,139.8697824,C008,19,,
35.7911565,139.8710436,C008,20,,
35.7928384,139.8725815,C008,21,,
35.7939767,139.8734363,C008,22,,
35.7959646,139.8748751,C008,23,,
35.7973821,139.875935,C008,24,,
35.7988228,139.8769698,C008,25,,
35.8000125,139.8783336,C008,26,,
35.8015677,139.8794599,C008,27,,
35.8034347,139.8807175,C008,28,,
35.804601,139.8820078,C008,29,,
35.8059884,139.8828916,C008,30,,
35.8076953,139.8844849,C008,31,,
35.8094889,139.8856873,C008,32,,
35.810496,139.8869968,C008,33,,
35.8123294,139.8880938,C008,34,,
35.8135167,139.8891126,C008,35,,
35.815131,139.8904292,C008,36,,
35.8166909,139.8914454,C008,37,,
35.8184645,139.8926845,C008,38,,
35.8198859,139.8938372,C008,39,,
35.8211445,139.8953667,C008,40,,
35.8227815,139.8960529,C008,41,,
35.823971,139.8973265,C008,42,,
35.8259545,139.8987948,C008,43,,
35.827365,139.9001557,C008,44,,
35.8285726,139.9010991,C008,45,,
35.8299599,139.9022846,C008,46,,
35.8317977,139.903706,C008,47,,
35.8330597,139.9044287,C008,48,,
35.8345082,139.9060735,C008,49,,
35.836,139.9072888,C008,50,,
35.7728813,139.858245,C009,1,,
35.7740127,139.8593115,C009,2,,
35.7759653,139.8604941,C009,3,,
35.7774282,139.8617305,C009,4,,
35.778999,139.8633604,C009,5,,
35.7802819,139.8643808,C009,6,,
35.7817745,139.8658102,C009,7,,
35.7833016,139.8665709,C009,8,,
35.7848418,139.8679116,C009,9,,
35.7862011,139.8690928,C009,10,,
35.7878774,139.8702318,C009,11,,
35.7890169,139.8712635,C009,12,,
35.7906279,139.8724639,C009,13,,
35.7921214,139.8737315,C009,14,,
35.7939736,139.8753263,C009,15,,
35.7951721,139.8764164,C009,16,,
35.7966014,139.8777655,C009,17,,
35.7979922,139.8787644,C009,18,,
35.799723,139.8801328,C009,19,,
35.8012944,139.8808607,C009,20,,
35.8026948,139.8824743,C009,21,,
35.8043963,139.8836089,C009,22,,
35.8059106,139.8846469,C009,23,,
35.8074677,139.8860428,C009,24,,
35.8084729,139.8868587,C009,25,,
35.8101268,139.8884523,C009,26,,
35.811706,139.8893817,C009,27,,
35.8130455,139.890901,C009,28,,
35.8149707,139.8917967,C009,29,,
35.8159428,139.8931788,C009,30,,
35.8177139,139.8945222,C009,31,,
35.8193508,139.895356,C009,32,,
35.8206411,139.8965949,C009,33,,
35.8219408,139.8979785,C009,34,,
35.8239383,139.8991664,C009,35,,
35.8249596,139.9002985,C009,36,,
35.8268122,139.9017237,C009,37,,
35.8281986,139.9025309,C009,38,,
35.8295487,139.9041365,C009,39,,
35.831499,139.9054158,C009,40,,
35.8327022,139.9062337,C009,41,,
35.8345176,139.9076959,C009,42,,
35.8356154,139.9087548,C009,43,,
35.8373694,139.9098969,C009,44,,
35.8387985,139.9113392,C009,45,,
35.8405219,139.912279,C009,46,,
35.841682,139.9136042,C009,47,,
35.8430711,139.914843,C009,48,,
35.8444478,139.9159776,C009,49,,
35.8464563,139.9172528,C009,50,,
35.7826862,139.8680769,C010,1,,
35.7843183,139.8697042,C010,2,,
35.7856922,139.87045,C010,3,,
35.7871976,139.8719381,C010,4,,
35.7885068,139.8730902,C010,5,,
35.7901885,139.8745311,C010,6,,
35.7918019,139.8757214,C010,7,,
35.7929573,139.8765913,C010,8,,
35.7944561,139.8779716,C010,9,,
35.7964286,139.8793104,C010,10,,
35.7977334,139.8805572,C010,11,,
35.7994538,139.8817328,C010,12,,
35.8006646,139.8825404,C010,13,,
35.802449,139.8836921,C010,14,,
35.8034838,139.8848959,C010,15,,
35.8053548,139.8861658,C010,16,,
35.8068922,139.8877858,C010,17,,
35.8084318,139.8886389,C010,18,,
35.8097508,139.8901962,C010,19,,
35.8113294,139.8911599,C010,20,,
35.8126531,139.8922354,C010,21,,
35.8143118,139.8932303,C010,22,,
35.815483,139.8946256,C010,23,,
35.8174903,139.8959402,C010,24,,
35.8189733,139.8971503,C010,25,,
35.8200468,139.8984485,C010,26,,
35.822033,139.8993808,C010,27,,
35.8231894,139.9005545,C010,28,,
35.8244702,139.9017386,C010,29,,
35.8261317,139.903316,C010,30,,
35.827531,139.9046223,C010,31,,
35.8292105,139.9053709,C010,32,,
35.8307689,139.9069566,C010,33,,
35.8321458,139.9081016,C010,34,,
35.8339345,139.9088497,C010,35,,
35.8352678,139.9100379,C010,36,,
35.8364472,139.9114161,C010,37,,
35.8380088,139.9129443,C010,38,,
35.8394853,139.9139095,C010,39,,
35.8414722,139.9154203,C010,40,,
35.842919,139.9163497,C010,41,,
35.8442158,139.9173461,C010,42,,
35.8458884,139.9186107,C010,43,,
35.8472012,139.9199695,C010,44,,
35.8489152,139.9213385,C010,45,,
35.8504173,139.9223306,C010,46,,
35.8518954,139.9232909,C010,47,,
35.8535275,139.9245721,C010,48,,
35.8547776,139.9261998,C010,49,,
35.8561284,139.9272193,C010,50,,
